session_date,observer_id,session_id,location _d,participant_id,Gender,session_start,session_end,observer/session/task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,int_task_id_2,int_start_2,int_end_2,active_1,active_2,active_3,inactive_1,inactive_2,is_session_complete?
1-Jun-21,10040,10040,Season1 Episode 1,Bob Kelso,M,1:34:14,1:59:51,10040_10040_3,Nothing Happening,1:38:23,1:41:22,0:02:59,0:02:59,179,0,0,Nothing Happening,10040_10040_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:59,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_9,Off-Screen,0:45:58,0:48:53,0:02:55,0:02:55,175,0,0,Off-Screen,10040_10221_10,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:55,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_9,Off-Screen,12:26:26,12:29:20,0:02:54,0:02:54,174,0,0,Off-Screen,10020_10087_10,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:54,,,,,TRUE
12-Apr-21,10040,10000,Episode 1 Season 1,Bob Kelso,M,23:20:18,23:43:38,10040_10000_12,Off-Screen,23:37:24,23:40:12,0:02:48,0:02:48,168,0,0,Off-Screen,10040_10000_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:48,,,,,TRUE
1-Jun-21,10040,10040,Season1 Episode 1,Bob Kelso,M,1:34:14,1:59:51,10040_10040_11,Off-Screen,1:53:29,1:56:16,0:02:47,0:02:47,167,0,0,Off-Screen,10040_10040_12,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:47,,,,,TRUE
12-Apr-21,10040,10000,Episode 1 Season 1,Bob Kelso,M,23:20:18,23:43:38,10040_10000_1,Off-Screen,23:20:18,23:23:03,0:02:45,0:02:45,165,0,0,Off-Screen,10040_10000_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:45,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_14,Off-Screen,13:43:02,13:45:56,0:02:54,0:02:40,160,0,0,Off-Screen,10020_10064_16,,0,,,,,,,,,0:00:00,FALSE,10020_10064_15,1,10020_10064_15,13:43:15,13:43:29,,,,0:00:13,0:02:27,,0:00:14,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_14,Off-Screen,13:43:02,13:45:56,0:02:54,0:02:40,160,0,0,Off-Screen,10020_10046_16,,0,,,,,,,,,0:00:00,FALSE,10020_10046_15,1,10020_10046_15,13:43:15,13:43:29,,,,0:00:13,0:02:27,,0:00:14,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_21,Off-Screen,0:55:40,0:58:17,0:02:37,0:02:37,157,0,0,Off-Screen,10040_10221_22,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:37,,,,,TRUE
3-Jun-21,10020,10086,S1E15,Bob Kelso,M,12:44:51,13:12:48,10020_10086_3,Off-Screen,12:47:08,12:49:39,0:02:31,0:02:31,151,0,0,Off-Screen,10020_10086_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:31,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_19,Off-Screen,12:36:09,12:38:39,0:02:30,0:02:30,150,0,0,Off-Screen,10020_10087_20,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:30,,,,,TRUE
